name,album,duration_ms,popularity,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Wherever I May Roam - Remastered 2021,Metallica (Remastered Deluxe Box Set),404333,46,2021/09/10,0.537,0.831,-7.467,0.0364,0.000617,0.000571,0.117,0.351,131.384
Dont Tread on Me - Remastered 2021,Metallica (Remastered Deluxe Box Set),240160,41,2021/09/10,0.656,0.881,-6.446,0.0498,0.00772,0.00316,0.194,0.685,108.012
Through the Never - Remastered 2021,Metallica (Remastered Deluxe Box Set),244533,40,2021/09/10,0.38,0.952,-5.954,0.0543,0.0113,0.272,0.124,0.464,94.302
Nothing Else Matters - Remastered 2021,Metallica (Remastered Deluxe Box Set),388733,46,2021/09/10,0.548,0.395,-9.794,0.0268,0.0543,5.41E-06,0.0791,0.182,142.372
Of Wolf and Man - Remastered 2021,Metallica (Remastered Deluxe Box Set),256573,40,2021/09/10,0.609,0.794,-6.864,0.0366,0.00104,0.0409,0.0833,0.492,121.765
The God That Failed - Remastered 2021,Metallica (Remastered Deluxe Box Set),308507,40,2021/09/10,0.528,0.818,-6.4,0.0382,0.000444,0.00011,0.172,0.462,83
My Friend of Misery - Remastered 2021,Metallica (Remastered Deluxe Box Set),409667,40,2021/09/10,0.568,0.859,-7.618,0.0358,0.000225,0.00761,0.101,0.332,119.514
The Struggle Within - Remastered 2021,Metallica (Remastered Deluxe Box Set),232648,37,2021/09/10,0.465,0.946,-6.512,0.0518,0.0013,0.0244,0.24,0.501,98.786
"Enter Sandman - Live at Wembley Stadium, London, England / April 20th, 1992",Metallica (Remastered Deluxe Box Set),418677,35,2021/09/10,0.32,0.931,-8.883,0.103,0.000187,0.000148,0.737,0.16,132.763
"Sad But True - Live at Wembley Stadium, London, England / April 20th, 1992",Metallica (Remastered Deluxe Box Set),334363,33,2021/09/10,0.405,0.828,-8.334,0.0406,2.73E-05,0.00349,0.766,0.315,92.639
"Nothing Else Matters - Live at Wembley Stadium, London, England / April 20th, 1992",Metallica (Remastered Deluxe Box Set),383747,33,2021/09/10,0.305,0.569,-8.827,0.0278,0.00158,0.000492,0.995,0.113,141.434
"The Ecstasy of Gold - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",Metallica (Remastered Deluxe Box Set),113509,32,2021/09/10,0.199,0.623,-13.832,0.078,0.0227,0.517,0.903,0.103,98.018
"Enter Sandman - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",Metallica (Remastered Deluxe Box Set),321413,37,2021/09/10,0.368,0.944,-7.283,0.0743,1.55E-05,0.0159,0.601,0.235,130.163
"Creeping Death - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",Metallica (Remastered Deluxe Box Set),477250,36,2021/09/10,0.246,0.946,-7.894,0.0995,3.81E-06,0.279,0.769,0.211,105.189
"Harvester of Sorrow - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",Metallica (Remastered Deluxe Box Set),423636,35,2021/09/10,0.37,0.952,-7.807,0.0963,1.69E-05,0.0337,0.503,0.124,91.357
"Fade to Black - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",Metallica (Remastered Deluxe Box Set),464581,34,2021/09/10,0.253,0.864,-7.647,0.0778,3.03E-05,0.183,0.995,0.218,104.262
"Sad But True - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",Metallica (Remastered Deluxe Box Set),360795,32,2021/09/10,0.357,0.913,-7.715,0.0758,2.76E-05,0.00774,0.991,0.32,90.159
"Master of Puppets - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",Metallica (Remastered Deluxe Box Set),254413,32,2021/09/10,0.342,0.952,-8.015,0.0899,5.59E-06,0.000464,0.64,0.27,101.502
"Seek & Destroy - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",Metallica (Remastered Deluxe Box Set),477575,33,2021/09/10,0.307,0.921,-8.259,0.0919,9.05E-06,0.0767,0.748,0.346,140.229
"For Whom the Bell Tolls - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",Metallica (Remastered Deluxe Box Set),348371,32,2021/09/10,0.297,0.904,-8.092,0.0606,1.71E-05,0.0217,0.314,0.259,118.209
"One - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",Metallica (Remastered Deluxe Box Set),494559,31,2021/09/10,0.335,0.891,-8.624,0.0613,1.74E-05,0.323,0.993,0.23,112.866
"Whiplash - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",Metallica (Remastered Deluxe Box Set),341938,29,2021/09/10,0.247,0.933,-8.33,0.214,3.50E-05,0.123,0.953,0.143,86.345
"Encore Jam - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",Metallica (Remastered Deluxe Box Set),89581,27,2021/09/10,0.272,0.925,-9.245,0.119,3.51E-05,0.752,0.54,0.183,80.813
"Last Caress - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",Metallica (Remastered Deluxe Box Set),87621,28,2021/09/10,0.339,0.962,-7.399,0.0838,3.62E-06,3.11E-05,0.846,0.387,102.905
"Am I Evil? - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",Metallica (Remastered Deluxe Box Set),284357,28,2021/09/10,0.265,0.942,-7.652,0.102,1.76E-05,0.031,0.231,0.262,143.743
"Battery - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",Metallica (Remastered Deluxe Box Set),433528,29,2021/09/10,0.194,0.965,-8.487,0.143,5.93E-05,0.062,0.712,0.0433,98.22
The Unforgiven - From James Riff Tapes,Metallica (Remastered Deluxe Box Set),68145,27,2021/09/10,0.511,0.2,-17.446,0.0392,0.96,0.964,0.102,0.508,144.061
Nothing Else Matters - From James Riff Tapes,Metallica (Remastered Deluxe Box Set),294996,27,2021/09/10,0.417,0.0765,-16.301,0.0305,0.87,0.386,0.112,0.0389,79.354
Sad But True - From James Riff Tapes,Metallica (Remastered Deluxe Box Set),55716,24,2021/09/10,0.412,0.516,-14.908,0.0405,0.065,0.975,0.332,0.463,104.005
Holier Than Thou - From James Riff Tapes,Metallica (Remastered Deluxe Box Set),107710,23,2021/09/10,0.386,0.641,-15.416,0.0539,0.175,0.971,0.19,0.63,83.733
Dont Tread on Me - From James Riff Tapes,Metallica (Remastered Deluxe Box Set),72987,23,2021/09/10,0.212,0.182,-15.255,0.0339,0.311,0.941,0.393,0.375,160.181
The Unforgiven - From James Riff Tapes II,Metallica (Remastered Deluxe Box Set),21927,1,2021/09/10,0.216,0.356,-12.565,0.0471,0.106,0.97,0.311,0,113.621
The Struggle Within - From James Riff Tapes,Metallica (Remastered Deluxe Box Set),92321,22,2021/09/10,0.209,0.347,-14.853,0.031,0.627,0.943,0.141,0.273,77.644
The Unforgiven - From James Riff Tapes III,Metallica (Remastered Deluxe Box Set),130248,23,2021/09/10,0.523,0.31,-16.972,0.0508,0.833,0.827,0.119,0.0943,145.402
The God That Failed - From James Riff Tapes,Metallica (Remastered Deluxe Box Set),43017,22,2021/09/10,0.426,0.396,-19.027,0.0544,0.984,0.978,0.139,0.746,85.728
Wherever I May Roam - From James Riff Tapes,Metallica (Remastered Deluxe Box Set),25082,1,2021/09/10,0.264,0.112,-20.88,0.04,0.967,0.96,0.138,0.643,79.842
Enter Sandman - From Kirks Riff Tapes,Metallica (Remastered Deluxe Box Set),71685,23,2021/09/10,0.271,0.525,-17.076,0.0516,0.479,0.459,0.105,0.352,122.956
Through the Never - From Kirks Riff Tapes,Metallica (Remastered Deluxe Box Set),87025,30,2021/09/10,0.424,0.603,-17.081,0.0468,0.000208,0.69,0.327,0.528,102.589
Of Wolf and Man - From Kirks Riff Tapes,Metallica (Remastered Deluxe Box Set),30072,21,2021/09/10,0.381,0.571,-16.844,0.0529,0.000599,0.899,0.0452,0.663,142.656
Enter Sandman - From Kirks Riff Tapes II,Metallica (Remastered Deluxe Box Set),40121,22,2021/09/10,0.438,0.475,-19.156,0.066,9.35E-05,0.878,0.0898,0.236,131.888
My Friend of Misery - From Jasons Riff Tapes,Metallica (Remastered Deluxe Box Set),277892,29,2021/09/10,0.75,0.21,-19.358,0.0368,0.874,0.942,0.111,0.499,109.65
"Enter Sandman - July 6th, 1990, Writing in Progress",Metallica (Remastered Deluxe Box Set),94015,23,2021/09/10,0.534,0.932,-11.336,0.0453,0.00167,0.472,0.158,0.345,127.981
"Sad But True - July 6th, 1990, Writing in Progress",Metallica (Remastered Deluxe Box Set),120008,22,2021/09/10,0.404,0.853,-11.975,0.043,1.48E-05,0.575,0.317,0.545,102.554
"The God That Failed - July 6th, 1990, Writing in Progress",Metallica (Remastered Deluxe Box Set),76160,21,2021/09/10,0.431,0.862,-12.116,0.064,3.78E-05,0.855,0.368,0.475,90.866
"Dont Tread on Me - July 6th, 1990, Writing in Progress",Metallica (Remastered Deluxe Box Set),64805,21,2021/09/10,0.438,0.86,-12.696,0.14,2.03E-05,0.918,0.336,0.695,110.964
"The Struggle Within - July 6th, 1990, Writing in Progress",Metallica (Remastered Deluxe Box Set),42083,21,2021/09/10,0.281,0.898,-12.435,0.111,2.77E-05,0.894,0.0351,0.627,192.991
"Holier Than Thou - July 6th, 1990, Writing in Progress",Metallica (Remastered Deluxe Box Set),100244,21,2021/09/10,0.241,0.855,-12.958,0.0628,9.68E-06,0.837,0.277,0.161,162.87
"Sad But True - July 10th, 1990, Writing in Progress",Metallica (Remastered Deluxe Box Set),52517,20,2021/09/10,0.604,0.301,-11.271,0.0332,0.0461,0.853,0.247,0.663,101.437
"Sad But True - July 12th, 1990, Demo",Metallica (Remastered Deluxe Box Set),311755,21,2021/09/10,0.534,0.713,-10.148,0.042,0.0875,0.751,0.0682,0.732,97.321
"Dont Tread on Me - July 12th, 1990, Demo",Metallica (Remastered Deluxe Box Set),248837,20,2021/09/10,0.477,0.808,-11.689,0.0517,0.00244,0.821,0.167,0.608,110.491
"Enter Sandman - July 12th, 1990, Demo",Metallica (Remastered Deluxe Box Set),290261,23,2021/09/10,0.52,0.803,-12.679,0.039,0.00469,0.709,0.145,0.523,130.25
"Nothing Else Matters - July 12th, 1990, Demo",Metallica (Remastered Deluxe Box Set),364331,21,2021/09/10,0.439,0.179,-15.531,0.0292,0.087,0.729,0.0764,0.17,143.851
"Of Wolf and Man - July 12th, 1990, Writing in Progress",Metallica (Remastered Deluxe Box Set),141372,19,2021/09/10,0.487,0.634,-12.809,0.0626,0.00196,0.518,0.183,0.624,126.257
"Through the Never - July 12th, 1990, Writing in Progress",Metallica (Remastered Deluxe Box Set),180030,19,2021/09/10,0.465,0.67,-13.011,0.038,0.00482,0.829,0.137,0.907,97.866
"The Struggle Within - July 24th, 1990, Writing in Progress",Metallica (Remastered Deluxe Box Set),85099,19,2021/09/10,0.328,0.837,-9.953,0.0627,3.70E-05,0.56,0.128,0.72,99.403
"Wherever I May Roam - July 24th, 1990, Writing in Progress",Metallica (Remastered Deluxe Box Set),137211,19,2021/09/10,0.484,0.742,-8.971,0.0467,0.00131,0.836,0.119,0.197,142.924
"Wherever I May Roam - July 30th, 1990, Writing in Progress",Metallica (Remastered Deluxe Box Set),365815,19,2021/09/10,0.484,0.708,-9.092,0.0306,0.0285,0.774,0.155,0.364,138.248
"The Struggle Within - July 30th, 1990, Writing in Progress",Metallica (Remastered Deluxe Box Set),226561,19,2021/09/10,0.42,0.951,-8.989,0.0563,0.00292,0.791,0.0896,0.547,96.619
"Enter Sandman - August 13th, 1990, Demo",Metallica (Remastered Deluxe Box Set),304230,19,2021/09/10,0.539,0.773,-11.228,0.0317,0.00207,0.831,0.112,0.639,129.74
"Sad But True - August 13th, 1990, Demo",Metallica (Remastered Deluxe Box Set),293983,19,2021/09/10,0.449,0.638,-11.611,0.0398,0.012,0.517,0.13,0.732,99.21
"Dont Tread on Me - August 13th, 1990, Demo",Metallica (Remastered Deluxe Box Set),238939,18,2021/09/10,0.566,0.812,-10.773,0.0666,0.00632,0.557,0.115,0.753,113.915
"Nothing Else Matters - August 13th, 1990, Demo",Metallica (Remastered Deluxe Box Set),354493,19,2021/09/10,0.532,0.287,-12.488,0.0281,0.225,0.306,0.0582,0.15,75.733
"Holier Than Thou - August 13th, 1990, Demo",Metallica (Remastered Deluxe Box Set),228203,18,2021/09/10,0.282,0.896,-10.718,0.0563,0.00285,0.603,0.146,0.706,172.209
"Wherever I May Roam - August 13th, 1990, Demo",Metallica (Remastered Deluxe Box Set),336308,18,2021/09/10,0.429,0.673,-11.26,0.0381,0.00736,0.369,0.197,0.388,139.211
"The Struggle Within - August 13th, 1990, Demo",Metallica (Remastered Deluxe Box Set),225329,17,2021/09/10,0.41,0.759,-11.769,0.0686,0.0015,0.807,0.225,0.689,100.939
"The God That Failed - August 22nd, 1990, Writing in Progress",Metallica (Remastered Deluxe Box Set),80177,18,2021/09/10,0.524,0.699,-11.279,0.0278,0.00263,0.0201,0.308,0.505,83.325
"Of Wolf and Man - August 22nd, 1990, Writing in Progress",Metallica (Remastered Deluxe Box Set),61052,19,2021/09/10,0.636,0.843,-10.589,0.0503,2.04E-05,0.836,0.0505,0.873,127.157
"My Friend of Misery - August 29th, 1990, Writing in Progress",Metallica (Remastered Deluxe Box Set),245171,18,2021/09/10,0.422,0.344,-13.518,0.0333,0.00148,0.883,0.162,0.449,122.036
"The Unforgiven - August 29th, 1990, Writing in Progress",Metallica (Remastered Deluxe Box Set),223971,18,2021/09/10,0.371,0.341,-13.762,0.0566,0.00223,0.883,0.323,0.308,71.398
"Through the Never - August 31st, 1990, Demo",Metallica (Remastered Deluxe Box Set),218798,17,2021/09/10,0.432,0.902,-11.619,0.0383,2.83E-05,0.634,0.0245,0.527,100.619
"Of Wolf and Man - August 31st, 1990, Demo",Metallica (Remastered Deluxe Box Set),245039,17,2021/09/10,0.589,0.857,-10.155,0.0434,0.000368,0.00134,0.0568,0.51,126.113
"The God That Failed - August 31st, 1990, Demo",Metallica (Remastered Deluxe Box Set),284506,17,2021/09/10,0.407,0.73,-11.15,0.0381,0.000291,0.00191,0.157,0.638,91.35
"The Unforgiven - September 3rd, 1990, Writing in Progress",Metallica (Remastered Deluxe Box Set),344881,18,2021/09/10,0.463,0.391,-13.481,0.0386,0.161,0.324,0.0928,0.419,71.221
"My Friend of Misery - September 3rd, 1990, Writing in Progress",Metallica (Remastered Deluxe Box Set),107352,19,2021/09/10,0.408,0.502,-13.043,0.0353,3.64E-05,0.897,0.151,0.425,123.806
Enter Sandman - Pre-Production Rehearsal,Metallica (Remastered Deluxe Box Set),298772,18,2021/09/10,0.521,0.596,-10.395,0.0299,0.00394,0.906,0.115,0.491,125.786
Sad But True - Pre-Production Rehearsal,Metallica (Remastered Deluxe Box Set),318271,18,2021/09/10,0.516,0.621,-9.882,0.029,0.00201,0.934,0.103,0.593,91.913
Holier Than Thou - Pre-Production Rehearsal,Metallica (Remastered Deluxe Box Set),226628,22,2021/09/10,0.213,0.857,-10.626,0.0428,0.00465,0.93,0.114,0.677,179.31
Nothing Else Matters - Pre-Production Rehearsal,Metallica (Remastered Deluxe Box Set),371492,17,2021/09/10,0.44,0.16,-13.035,0.0352,0.0147,0.809,0.102,0.318,142.597
Wherever I May Roam - Pre-Production Rehearsal,Metallica (Remastered Deluxe Box Set),368492,17,2021/09/10,0.384,0.6,-10.005,0.0293,0.000181,0.89,0.123,0.227,133.572
Dont Tread on Me - Pre-Production Rehearsal,Metallica (Remastered Deluxe Box Set),247679,23,2021/09/10,0.518,0.582,-10.052,0.0306,0.00167,0.912,0.115,0.749,109.618
Through the Never - Pre-Production Rehearsal,Metallica (Remastered Deluxe Box Set),229642,16,2021/09/10,0.425,0.786,-10.619,0.044,0.000586,0.913,0.157,0.68,98.211
The Unforgiven - Pre-Production Rehearsal,Metallica (Remastered Deluxe Box Set),403134,17,2021/09/10,0.475,0.475,-10.418,0.0277,0.00733,0.691,0.154,0.244,137.92
Of Wolf and Man - Pre-Production Rehearsal,Metallica (Remastered Deluxe Box Set),255880,16,2021/09/10,0.417,0.593,-9.909,0.0288,6.29E-06,0.927,0.266,0.442,123.49
The God That Failed - Pre-Production Rehearsal,Metallica (Remastered Deluxe Box Set),310699,17,2021/09/10,0.453,0.598,-8.835,0.0251,0.000136,0.888,0.111,0.402,83.138
My Friend of Misery - Pre-Production Rehearsal,Metallica (Remastered Deluxe Box Set),383817,16,2021/09/10,0.455,0.523,-9.707,0.0327,9.94E-05,0.878,0.0937,0.267,120.374
The Struggle Within - Pre-Production Rehearsal,Metallica (Remastered Deluxe Box Set),239391,16,2021/09/10,0.251,0.752,-9.172,0.0354,5.43E-05,0.859,0.123,0.526,98.803
Enter Sandman - Radio Edit,Metallica (Remastered Deluxe Box Set),242081,19,2021/09/10,0.586,0.811,-8.65,0.0326,0.00189,0.00401,0.0693,0.64,123.847
The Unforgiven - Radio Edit,Metallica (Remastered Deluxe Box Set),300979,21,2021/09/10,0.546,0.631,-9.092,0.0251,0.00847,0.00181,0.236,0.338,139.424
Nothing Else Matters - Radio Edit,Metallica (Remastered Deluxe Box Set),300594,20,2021/09/10,0.545,0.454,-9.803,0.0263,0.0218,1.12E-06,0.0775,0.236,142.39
Wherever I May Roam - Radio Edit,Metallica (Remastered Deluxe Box Set),300159,18,2021/09/10,0.567,0.81,-7.482,0.0321,0.000246,0.000259,0.0908,0.393,131.402
"So What - Early Take - October 12th, 1990",Metallica (Remastered Deluxe Box Set),181692,34,2021/09/10,0.533,0.934,-8.316,0.0339,8.21E-05,0.914,0.222,0.562,98.466
"Killing Time - Take 18 - October 12th, 1990",Metallica (Remastered Deluxe Box Set),189473,17,2021/09/10,0.312,0.901,-8.634,0.0441,6.75E-06,0.782,0.185,0.252,112.009
"Through the Never - Take 53 - October 22nd, 1990",Metallica (Remastered Deluxe Box Set),253991,16,2021/09/10,0.505,0.861,-9.666,0.0435,0.000275,0.876,0.0611,0.288,96.642
"Holier Than Thou - Take 9 - October 27th, 1990",Metallica (Remastered Deluxe Box Set),241290,16,2021/09/10,0.511,0.94,-7.963,0.0645,1.73E-05,0.771,0.185,0.461,172.132
"My Friend of Misery - Take 4 - October 27th, 1990",Metallica (Remastered Deluxe Box Set),398337,17,2021/09/10,0.671,0.485,-9.809,0.0336,0.000232,0.776,0.104,0.498,119.449
"The Struggle Within - Take 12 - November 10th, 1990",Metallica (Remastered Deluxe Box Set),205865,16,2021/09/10,0.462,0.961,-8.679,0.0433,0.000456,0.848,0.125,0.317,99.231
"Of Wolf and Man - Take 2 - December 6th, 1990",Metallica (Remastered Deluxe Box Set),269815,15,2021/09/10,0.78,0.855,-8.797,0.0668,0.000136,0.854,0.0813,0.621,121.372
"The God That Failed - Take 26 - December 6th, 1990",Metallica (Remastered Deluxe Box Set),303969,16,2021/09/10,0.698,0.857,-9.919,0.0605,0.000211,0.938,0.0683,0.298,83.061
"Dont Tread on Me - Take 6 - December 15th, 1990",Metallica (Remastered Deluxe Box Set),243492,16,2021/09/10,0.66,0.916,-7.942,0.0571,0.00376,0.0397,0.0702,0.501,107.701
"Enter Sandman - Take 15 - January 21st, 1991",Metallica (Remastered Deluxe Box Set),217246,16,2021/09/10,0.645,0.89,-9.004,0.0463,0.00207,0.9,0.109,0.623,123.949
"Enter Sandman - Take 35 - January 21st, 1991",Metallica (Remastered Deluxe Box Set),89817,16,2021/09/10,0.672,0.822,-9.388,0.0821,0.00111,0.612,0.0783,0.606,122.976
"Late Night Skynard Jam - January 23rd, 1991",Metallica (Remastered Deluxe Box Set),249151,18,2021/09/10,0.416,0.794,-11.053,0.0645,0.000298,0.828,0.222,0.295,146.656
"The Unforgiven - 139 BPM Take - January 29th, 1991",Metallica (Remastered Deluxe Box Set),318874,16,2021/09/10,0.638,0.665,-9.491,0.0462,0.0106,0.743,0.108,0.349,69.71
"Nothing Else Matters - Take 19 - January 29th, 1991",Metallica (Remastered Deluxe Box Set),296211,16,2021/09/10,0.673,0.358,-10.84,0.0428,0.00198,0.17,0.0457,0.327,142.449
"Sad But True - Take 36 - February 5th, 1991",Metallica (Remastered Deluxe Box Set),317574,30,2021/09/10,0.706,0.785,-7.299,0.0507,0.00212,0.334,0.0808,0.392,89.231
"Wherever I May Roam - Take 3 - February 5th, 1991",Metallica (Remastered Deluxe Box Set),299328,15,2021/09/10,0.646,0.834,-8.421,0.0475,0.000777,0.0248,0.109,0.309,131.443
"Enter Sandman - May 13th, 1991 Rough Mix",Metallica (Remastered Deluxe Box Set),335249,19,2021/09/10,0.591,0.819,-8.846,0.0369,0.0138,0.0804,0.0709,0.633,123.318
"The God That Failed - May 13th, 1991 Rough Mix",Metallica (Remastered Deluxe Box Set),301896,25,2021/09/10,0.593,0.779,-7.567,0.0299,0.00088,0.0033,0.281,0.449,83.142
"The Struggle Within - May 13th, 1991 Rough Mix",Metallica (Remastered Deluxe Box Set),235076,16,2021/09/10,0.402,0.926,-8.897,0.0472,8.48E-05,0.934,0.386,0.273,98.8
"The Unforgiven - May 14th, 1991 Rough Mix",Metallica (Remastered Deluxe Box Set),380900,31,2021/09/10,0.564,0.615,-8.136,0.0251,0.0349,0.0543,0.331,0.371,139.42
"Wherever I May Roam - May 14th, 1991 Rough Mix",Metallica (Remastered Deluxe Box Set),382348,17,2021/09/10,0.532,0.783,-7.856,0.03,0.000249,0.0554,0.078,0.229,131.373
"Dont Tread on Me - May 14th, 1991 Rough Mix",Metallica (Remastered Deluxe Box Set),247595,16,2021/09/10,0.662,0.733,-7.902,0.0351,0.0121,0.26,0.303,0.701,107.952
"Through the Never - May 14th, 1991 Rough Mix",Metallica (Remastered Deluxe Box Set),242590,16,2021/09/10,0.404,0.796,-8.107,0.0382,0.0042,0.494,0.357,0.422,94.778
"Sad But True - May 23rd, 1991 Rough Mix",Metallica (Remastered Deluxe Box Set),323519,18,2021/09/10,0.548,0.881,-7.306,0.0332,0.00107,0.773,0.0722,0.486,89.07
"Of Wolf and Man - June 2nd, 1991 Rough Mix",Metallica (Remastered Deluxe Box Set),258919,18,2021/09/10,0.575,0.739,-7.689,0.0302,0.000356,0.103,0.0685,0.322,121.799
"My Friend of Misery - June 2nd, 1991 Rough Mix",Metallica (Remastered Deluxe Box Set),403434,16,2021/09/10,0.531,0.691,-8.685,0.0366,0.000447,0.00087,0.14,0.274,119.517
"Holier Than Thou - June 2nd, 1991 Rough Mix",Metallica (Remastered Deluxe Box Set),227574,30,2021/09/10,0.383,0.934,-7.507,0.0424,0.000203,0.842,0.143,0.409,171.947
Nothing Else Matters - No Orchestra Mix - July 8th 1991,Metallica (Remastered Deluxe Box Set),400775,26,2021/09/10,0.562,0.372,-11.006,0.0274,0.059,4.66E-05,0.246,0.129,142.266
"Nothing Else Matters - Orchestra / Clean Guitar / Vocal Mix - July 8th, 1991",Metallica (Remastered Deluxe Box Set),405871,38,2021/09/10,0.516,0.173,-14.693,0.03,0.719,0,0.126,0.162,142.219
Nothing Else Matters - Elevator Version,Metallica (Remastered Deluxe Box Set),391384,24,2021/09/10,0.465,0.343,-11.332,0.0265,0.567,0.000749,0.0967,0.192,142.381
"Creeping Death - Live at Day on the Green, Oakland, CA / October 12th, 1991",Metallica (Remastered Deluxe Box Set),212902,18,2021/09/10,0.384,0.92,-8.582,0.0778,0.00199,0.19,0.915,0.172,105.588
"Harvester of Sorrow - Live at Day on the Green, Oakland, CA / October 12th, 1991",Metallica (Remastered Deluxe Box Set),422405,16,2021/09/10,0.369,0.931,-7.995,0.0844,0.0168,0.00445,0.234,0.246,90.099
"Welcome Home (Sanitarium) - Live at Day on the Green, Oakland, CA / October 12th, 1991",Metallica (Remastered Deluxe Box Set),430049,17,2021/09/10,0.317,0.89,-8.159,0.0959,0.013,0.0525,0.722,0.228,101.846
"Sad But True - Live at Day on the Green, Oakland, CA / October 12th, 1991",Metallica (Remastered Deluxe Box Set),338813,16,2021/09/10,0.46,0.904,-7.558,0.0749,0.0486,0.000112,0.796,0.338,90.731
"Wherever I May Roam - Live at Day on the Green, Oakland, CA / October 12th, 1991",Metallica (Remastered Deluxe Box Set),417671,25,2021/09/10,0.371,0.912,-7.296,0.0562,0.00874,0.0205,0.115,0.319,134.428
"Bass Solo - Live at Day on the Green, Oakland, CA / October 12th, 1991",Metallica (Remastered Deluxe Box Set),266954,15,2021/09/10,0.418,0.292,-17.169,0.0427,0.653,0.865,0.0907,0.0881,124.511
"Through the Never - Live at Day on the Green, Oakland, CA / October 12th, 1991",Metallica (Remastered Deluxe Box Set),280323,15,2021/09/10,0.289,0.921,-8.21,0.0835,0.0101,0.0356,0.646,0.139,96.754
"The Unforgiven - Live at Day on the Green, Oakland, CA / October 12th, 1991",Metallica (Remastered Deluxe Box Set),467494,17,2021/09/10,0.433,0.654,-9.065,0.0322,0.116,0.00306,0.368,0.285,143.814
"Master of Puppets - Live at Day on the Green, Oakland, CA / October 12th, 1991",Metallica (Remastered Deluxe Box Set),243619,16,2021/09/10,0.35,0.917,-9.071,0.0608,0.00185,0.105,0.819,0.517,99.454
"Seek & Destroy - Live at Day on the Green, Oakland, CA / October 12th, 1991",Metallica (Remastered Deluxe Box Set),453429,15,2021/09/10,0.353,0.938,-8.236,0.0881,0.00988,0.297,0.977,0.532,140.008
"For Whom the Bell Tolls - Live at Day on the Green, Oakland, CA / October 12th, 1991",Metallica (Remastered Deluxe Box Set),359186,18,2021/09/10,0.394,0.78,-8.965,0.0737,0.027,0.00988,0.958,0.463,120.32
